CO,Gas,Temp,Humidity,Pressure,Oxygen,Alert,Escape_Time
4.89,0.23,31.27,47.76,935.65,20.94,no
0.93,0.93,30.92,34.82,955.79,19.26,no
1.72,0.49,25.33,47.61,1079.96,19.17,no
0.75,1.75,30.7,54.38,1035.42,20.84,no
0.23,0.38,31.92,45.48,932.25,20.17,no
4.28,0.28,24.14,44.45,1067.0,21.35,no
1.77,0.72,28.79,51.51,1049.99,20.75,no
3.51,1.99,32.42,50.26,917.84,21.17,no
2.85,0.73,29.8,49.54,1029.96,19.32,no
4.37,1.27,23.58,42.41,1035.35,21.49,no
4.88,1.85,24.57,33.42,1029.27,19.47,no
1.54,1.37,30.43,61.94,1055.16,19.35,no
4.05,0.18,28.83,41.32,1011.84,19.73,no
1.2,1.93,34.76,67.21,1096.71,19.93,no
1.54,0.21,27.37,60.68,1099.7,19.28,no
4.04,1.76,25.02,60.14,901.66,19.56,no
4.75,0.48,28.79,68.31,948.61,21.17,no
2.13,1.8,22.66,54.52,904.85,20.89,no
2.73,0.59,31.31,62.07,937.36,20.65,no
4.77,1.75,23.49,54.71,924.87,21.48,no
0.94,0.12,25.91,58.66,1049.45,21.33,no
2.84,0.86,26.49,43.11,923.73,21.47,no
2.54,0.17,34.75,61.53,1045.84,20.57,no
3.01,0.73,26.36,32.05,954.55,19.68,no
1.61,1.88,26.1,31.53,1010.91,21.4,no
4.17,1.13,34.03,37.22,924.34,21.47,no
2.22,1.84,27.48,34.85,909.77,20.79,no
4.61,0.97,26.32,37.76,1069.66,20.21,no
4.29,0.31,32.9,37.13,929.31,19.45,no
3.15,1.48,20.95,55.17,924.56,19.83,no
0.75,0.22,22.35,43.59,915.34,19.42,no
0.96,0.47,23.74,52.63,997.09,21.12,no
1.88,1.34,31.0,63.79,951.67,20.9,no
4.55,1.55,24.68,51.0,1099.61,21.35,no
3.23,0.41,29.03,43.62,1065.95,20.45,no
1.63,1.5,31.3,64.61,1024.85,20.21,no
3.25,1.28,26.56,64.42,965.85,21.18,no
4.75,1.99,30.13,53.95,995.85,20.59,no
2.83,1.98,28.89,38.42,956.4,21.3,no
4.31,0.42,24.07,68.77,1044.18,21.22,no
2.49,0.42,25.82,33.47,937.78,20.59,no
3.11,0.92,34.16,49.3,1060.53,19.76,no
2.74,1.59,28.44,65.28,1056.88,20.23,no
4.91,1.58,23.53,69.73,1016.44,19.89,no
1.35,0.15,22.3,37.19,942.9,19.9,no
3.19,0.43,20.88,43.88,969.62,19.51,no
2.67,0.25,31.62,34.84,1087.94,21.09,no
0.44,1.18,21.2,35.47,980.11,20.47,no
0.46,1.82,26.27,52.74,1038.55,20.34,no
4.47,1.38,33.1,35.72,980.9,19.97,no
4.27,0.28,32.37,49.83,1030.88,20.27,no
2.64,1.87,25.5,50.53,978.04,19.25,no
4.88,0.81,30.24,49.91,930.38,19.85,no
1.73,1.26,26.26,42.3,1095.37,21.09,no
0.94,1.86,22.58,32.99,963.13,19.73,no
3.58,1.96,33.2,52.36,1032.67,19.17,no
0.96,0.49,25.73,42.57,918.29,19.65,no
4.57,0.66,22.87,62.09,1041.93,21.12,no
4.64,1.85,22.75,52.41,948.51,19.32,no
4.8,1.74,31.84,67.33,1086.74,20.27,no
1.68,1.2,24.09,56.34,1049.67,19.99,no
3.68,1.83,31.82,44.43,924.2,20.1,no
2.88,1.84,28.32,47.47,973.33,20.23,no
2.97,0.48,24.77,58.88,1087.04,19.78,no
2.28,0.38,30.41,58.01,939.35,19.55,no
4.97,0.84,28.27,46.63,1013.93,21.29,no
1.98,1.83,21.61,51.23,988.2,19.67,no
2.31,0.23,29.1,32.11,1055.25,20.49,no
0.23,0.76,25.42,53.96,1091.62,19.12,no
1.42,1.39,25.98,59.15,1072.91,19.07,no
4.23,0.31,30.95,66.4,1094.48,19.04,no
4.3,1.21,33.43,68.77,1099.39,19.99,no
4.0,0.22,25.64,32.29,1055.31,19.26,no
4.98,0.44,23.18,44.62,1014.72,20.87,no
1.68,0.83,22.81,44.03,1088.53,20.13,no
0.72,0.91,30.04,39.92,942.6,19.8,no
0.52,0.64,24.51,49.3,1071.88,19.83,no
1.73,1.81,30.42,35.89,909.66,20.01,no
1.16,1.43,34.69,67.28,1017.25,21.21,no
1.33,1.48,33.43,60.25,1038.41,20.94,no
0.93,1.92,22.93,44.8,975.24,20.64,no
2.04,0.29,30.23,60.48,1086.19,19.44,no
1.96,1.82,32.69,66.04,1094.33,20.07,no
1.85,1.0,25.99,45.05,986.49,19.37,no
2.44,1.91,30.81,65.05,972.13,21.37,no
4.99,0.76,31.76,36.67,930.42,19.24,no
2.51,1.08,27.16,35.93,961.93,20.14,no
3.27,0.93,33.45,57.83,969.32,21.24,no
3.97,1.25,28.74,61.26,901.38,20.6,no
4.27,1.69,29.12,57.73,911.94,20.59,no
1.8,1.31,29.29,61.49,969.48,21.21,no
4.79,1.94,23.73,67.56,998.22,20.02,no
2.39,1.93,24.2,59.67,1050.27,20.24,no
2.05,0.42,22.36,43.03,998.03,21.47,no
3.81,1.69,33.71,63.53,921.59,19.48,no
4.2,0.93,33.95,66.85,1045.03,20.86,no
1.37,0.8,27.19,55.13,1097.23,20.27,no
2.32,1.59,27.19,37.64,1054.48,20.06,no
1.41,0.18,34.97,34.54,1046.76,21.1,no
3.04,1.23,32.52,37.15,907.32,20.86,no
0.23,1.57,31.36,42.54,925.38,20.84,no
0.99,0.12,31.19,54.98,1029.46,20.48,no
0.48,0.45,34.73,47.26,1075.84,20.81,no
4.31,0.17,34.58,67.59,1080.23,21.43,no
1.78,1.14,23.81,44.13,1088.07,20.19,no
2.76,1.11,26.43,59.98,1076.04,19.93,no
1.26,1.95,27.88,51.76,965.32,19.51,no
3.9,1.66,26.11,62.37,986.44,20.42,no
4.78,1.41,32.96,36.9,1027.98,19.26,no
4.97,1.0,34.51,30.54,1006.4,19.6,no
2.71,1.13,27.49,55.16,1060.02,19.81,no
1.97,1.98,27.67,30.89,927.4,19.46,no
2.97,0.43,27.1,44.29,982.29,19.43,no
4.81,1.63,32.95,32.73,990.0,21.32,no
4.61,1.78,33.46,34.35,1000.77,21.09,no
1.55,1.22,32.57,39.83,1068.84,20.23,no
3.98,1.2,22.39,50.56,1079.19,20.81,no
4.05,1.44,29.96,38.09,1023.01,21.22,no
2.03,0.44,23.69,46.19,956.53,21.3,no
2.96,1.13,22.76,68.87,962.88,19.13,no
4.05,1.65,20.16,63.89,1023.94,21.29,no
4.19,0.53,27.43,52.64,965.55,20.45,no
4.96,1.98,25.62,54.31,1089.18,20.41,no
4.34,1.01,21.74,31.86,974.25,20.51,no
3.08,0.26,32.71,35.96,1077.79,21.39,no
2.97,0.84,27.56,38.54,1023.77,20.04,no
3.92,1.92,31.99,56.31,959.84,19.8,no
1.64,0.37,28.34,69.24,985.36,19.28,no
1.66,1.89,30.79,32.21,926.63,20.79,no
3.33,1.5,34.31,59.56,1039.95,20.56,no
4.34,1.36,31.46,53.77,999.37,20.76,no
1.35,1.89,30.32,54.84,907.15,20.11,no
0.75,0.57,32.08,30.43,941.24,19.5,no
1.71,0.64,27.51,48.79,916.08,20.51,no
2.08,1.11,21.72,46.29,1083.48,19.39,no
0.2,0.43,30.27,54.41,1012.41,20.73,no
0.4,1.87,28.43,34.21,971.39,20.12,no
1.19,1.36,29.42,68.51,1096.52,20.94,no
3.63,0.11,25.44,63.37,943.91,21.1,no
4.28,1.41,33.57,40.52,1028.95,19.72,no
2.54,0.61,29.89,41.31,1024.07,20.04,no
3.95,1.15,32.89,59.21,1065.75,20.97,no
1.78,1.84,34.39,31.15,1099.69,19.5,no
3.59,0.94,33.36,39.95,1048.34,19.41,no
3.74,0.31,24.24,39.68,1046.69,19.66,no
3.57,1.46,21.14,63.79,957.37,20.11,no
3.52,1.09,29.75,57.71,966.16,20.85,no
1.3,1.73,26.97,54.65,964.29,20.01,no
4.22,0.85,24.34,42.94,1078.65,20.18,no
2.72,0.81,21.68,47.85,905.15,19.96,no
2.42,1.87,30.5,36.82,904.76,21.34,no
3.05,0.92,27.37,65.11,968.58,21.4,no
4.03,0.82,31.13,61.7,1035.82,20.74,no
3.17,0.94,20.06,50.04,1065.47,19.13,no
3.13,0.41,29.83,31.46,1096.05,20.89,no
0.31,0.6,21.31,45.87,986.76,20.48,no
3.67,1.33,26.38,53.37,911.85,21.01,no
2.01,0.4,28.95,44.19,1087.43,19.55,no
3.13,0.38,33.3,44.67,920.34,20.66,no
4.7,1.27,32.9,53.28,1054.6,20.65,no
4.07,0.26,24.48,48.52,1022.18,21.01,no
3.39,0.13,26.15,67.8,994.15,20.27,no
4.29,0.95,26.2,62.1,982.03,21.18,no
2.48,1.77,20.72,37.13,948.06,19.84,no
4.03,0.62,30.78,63.04,920.31,19.07,no
1.64,0.98,30.16,40.62,962.06,19.86,no
3.78,0.51,24.39,46.71,980.74,20.41,no
2.68,1.43,29.55,47.21,997.0,19.05,no
0.72,1.8,32.41,57.55,1039.31,20.21,no
2.93,1.72,24.19,47.37,1017.59,20.55,no
3.14,1.36,34.63,39.14,1036.52,21.43,no
0.82,0.71,20.97,51.76,958.13,19.09,no
1.85,1.81,29.7,39.21,1090.97,20.96,no
2.98,0.47,28.58,57.71,1024.5,19.65,no
4.83,1.85,30.25,53.56,1006.54,19.94,no
3.26,0.14,20.02,30.87,1075.77,20.77,no
0.19,1.13,28.79,58.41,1068.41,21.28,no
2.66,0.42,33.45,65.57,1036.78,19.31,no
0.78,0.45,24.94,49.39,1075.11,21.15,no
3.72,1.24,31.41,59.17,962.59,19.04,no
4.28,1.16,23.57,46.46,1025.1,20.69,no
4.34,0.43,24.51,65.11,903.08,20.1,no
